                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                  1.213,                  0.716,                 1.1993,                0.92278,                0.90364,                0.96045,                0.60804,                 1.2268,                 0.6637,                 1.2259,               0.000515,               0.000515,               0.000515
                     77,                 1.2273,                0.70544,                 1.1942,                0.94371,                0.89936,                 0.9666,                0.60825,                 1.2288,                0.66111,                 1.2226,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2146,                0.69421,                 1.1818,                0.94971,                0.88865,                0.96182,                0.61962,                  1.207,                0.64702,                 1.2251,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2022,                 0.6983,                 1.1852,                0.93063,                0.89051,                0.96035,                 0.6075,                 1.2313,                0.65729,                 1.2268,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2135,                0.70197,                 1.1885,                0.94102,                0.88834,                0.96039,                0.61148,                 1.2084,                0.65712,                 1.2074,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1824,                0.68047,                 1.1694,                0.93881,                0.92077,                0.96853,                0.62562,                 1.1669,                0.65081,                 1.2001,               0.000416,               0.000416,               0.000416
                     82,                 1.2052,                 0.6966,                 1.2056,                0.96068,                0.88949,                0.96062,                0.62591,                 1.1882,                0.64495,                 1.2105,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2161,                0.71589,                 1.2085,                0.94939,                0.91221,                0.96419,                0.62066,                 1.2164,                0.65225,                  1.216,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.186,                0.67881,                 1.1729,                0.95839,                0.88223,                0.96854,                0.63719,                 1.1622,                0.64192,                  1.206,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1674,                 0.6614,                 1.1597,                0.94819,                0.90138,                0.97053,                 0.6317,                   1.17,                0.62539,                 1.1984,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1982,                0.69341,                 1.1811,                0.94875,                0.91435,                0.97064,                0.62576,                 1.2022,                0.62597,                 1.2022,               0.000317,               0.000317,               0.000317
                     87,                 1.1771,                0.66947,                 1.1699,                0.94963,                0.90578,                0.96714,                0.63289,                 1.1751,                 0.6354,                 1.1999,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.201,                0.68584,                 1.1748,                0.95918,                0.90572,                0.96489,                0.62266,                 1.2037,                0.62886,                 1.2063,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1798,                0.67673,                 1.1484,                0.94975,                0.89722,                0.96209,                0.62131,                 1.2016,                0.64178,                 1.2157,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1398,                0.64172,                 1.1336,                0.93848,                0.91464,                0.96747,                0.62351,                 1.1988,                0.62639,                 1.2055,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1705,                0.65835,                 1.2072,                 0.9631,                 0.9015,                0.96646,                0.64256,                  1.143,                0.62938,                 1.1834,               0.000218,               0.000218,               0.000218
                     92,                  1.134,                0.63499,                 1.1682,                0.94332,                0.91006,                0.96685,                0.62184,                 1.1919,                 0.6354,                 1.1989,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1066,                0.61595,                 1.1492,                0.95082,                0.91006,                0.96775,                0.63602,                  1.174,                0.61366,                 1.1881,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1093,                0.62097,                 1.1619,                0.94374,                0.92505,                0.97211,                0.64407,                 1.1377,                0.61618,                 1.1781,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0996,                 0.6128,                 1.1697,                0.93234,                0.92719,                0.97343,                0.65118,                   1.13,                0.61349,                 1.1796,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1045,                0.61208,                 1.1634,                0.93723,                0.92724,                0.97242,                0.63011,                 1.1788,                0.62001,                 1.1948,               0.000119,               0.000119,               0.000119
                     97,                  1.108,                0.62111,                 1.1765,                 0.9332,                0.93362,                0.97231,                0.64362,                 1.1356,                0.61008,                 1.1861,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0824,                0.60056,                 1.1397,                0.93621,                0.92934,                0.97446,                 0.6482,                 1.1373,                0.60939,                 1.1786,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.094,                 0.6065,                 1.1519,                 0.9336,                 0.9334,                0.97479,                0.64592,                 1.1496,                0.61034,                 1.1875,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0912,                0.60292,                 1.1517,                0.92938,                0.92992,                0.97473,                0.64254,                 1.1392,                0.60769,                 1.1849,               3.98e-05,               3.98e-05,               3.98e-05
